Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Last Visited,Gender,Product Type,Popularity
Men's adidas Running Erdiga 3.0 Shoes,CK9690,42.99,21.49,50,Adidas CORE / NEO,Men's adidas Running Erdiga 3.0 Shoes: The adidas Erdiga 3.0 shoes for men crafted with Mesh-Synthetic upper for added comfort. The IMEVA midsole provides optimized cushioning and rebounding. The outsole is made of high durable rubber.,3.2,73,2020-04-13 15:06:29,Men's product,footwear,high popularity
Men's adidas Running Duramo 9 Shoes,EE7927,65.99,32.99,50,Adidas CORE / NEO,"Men's adidas Running Duramo 9 Shoes: These men's versatile running shoes are ideal for the treadmill or the trail. They feature a mesh upper for breathability and a seamless print overlay for additional support. Pillow-soft Cloudfoam cushions every stride, while the durable outsole holds up to everyday wear.",2.2,27,2020-04-13 15:06:29,Men's product,footwear,medium popularity
Men's adidas Sport Inspired Nebular 2 Shoes,CK9688,49.99,24.99,50,Adidas CORE / NEO,Men's adidas Sport Inspired Nebular 2 Shoes: Style and performance go hand in hand in this adidas running-inspired shoes for men. Featuring Textile-Mesh upper for lightweight and breathability with Rubber outsole for durability.,3.2,43,2020-04-13 15:06:29,Men's product,footwear,medium popularity
Men's adidas Sport Inspired Binafo Shoes,CK9424,52.99,26.49,50,Adidas CORE / NEO,"Men's adidas Sport Inspired Binafo Shoes: Extremely functional and subtle running-inspired shoes for men. The mesh upper of these shoes promise a comfortable comfort and a lightweight pick, while the EVA midsole and rubber outsole ensure durability.",3.0,49,2020-04-13 15:06:29,Men's product,footwear,medium popularity
Men's adidas Sport Inspired Blaze Runner Shoes,CK9430,55.99,27.99,50,Adidas CORE / NEO,Men's adidas Sport Inspired Blaze Runner Shoes: Extremely functional and subtle running-inspired shoes for men. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. IMEVA midsole and full Rubber outsole provides durability.,2.6,80,2020-04-13 15:06:30,Men's product,footwear,very high popularity
Women's adidas Originals Arkyn Shoes,CG6228,119.99,59.99,50,Adidas ORIGINALS,Women's adidas Originals Arkyn Shoes: The Arkyn offers a feminine design that's modern and playful. These sleek shoes show off a bold clash of colors and materials. They're made with a sock-like mesh upper that gives a snug and supportive feel.,3.1,65,2020-04-13 15:06:30,Women's product,footwear,high popularity
Women's adidas Originals Deerupt Runner Shoes,DB3600,99.99,49.99,50,Adidas ORIGINALS,"Women's adidas Originals Deerupt Runner Shoes: Deerupt is defined by a standout minimalist design. These shoes show off webbing that covers the upper and midsole. A flexible, collapsible upper makes them easy to pack. The lightweight sneakers are built to deliver a snug, comfortable feel.",2.7,87,2020-04-13 15:06:30,Women's product,footwear,very high popularity
Men's adidas Running 90s Valasion Shoes,EE9892,89.99,44.99,50,Adidas CORE / NEO,"Men's adidas Running 90s Valasion Shoes: The spirit of innovation and motivation returns. Nostalgic for the '90s, these running shoes add superior modern cushioning to a classic look. From step-in to full stride, they deliver ultra-soft comfort. They feature a leather and mesh upper and a Cloudfoam Comfort midsole for extra comfort and performance.",3.5,43,2020-04-13 15:06:30,Men's product,footwear,medium popularity
Men's adidas Sport Inspired Zeta 2.0 Shoes,CL7461,45.99,22.99,50,Adidas CORE / NEO,Men's adidas Sport Inspired Zeta 2.0 Shoes: Fresh running-inspired style. These shoes have a lightweight textile upper that hugs the foot with a sock-like construction. Plush IMEVA midsole and Rubber outsole cushioning keeps your feet comfortable throughout the day. Seamless 3-Stripes flash down the sides.,2.9,58,2020-04-13 15:06:30,Men's product,footwear,high popularity
MEN'S ADIDAS RUNNING PUARO SHOES,CK9678,49.99,24.99,50,Adidas CORE / NEO,MEN'S ADIDAS RUNNING PUARO SHOES: Style and performance go hand in hand in this adidas Puaro shoes for men. Mesh upper for lightweight and breathability with full rubber outsole for durability. They come layered sandwich mesh details for maximum ventilation.,1.5,0,2020-04-13 15:06:30,Men's product,footwear,low popularity
Men's adidas Running Helkin 3 Shoes,CK9696,45.99,22.99,50,Adidas CORE / NEO,Men's adidas Running Helkin 3 Shoes: Style and performance go hand in hand in this adidas Helkin 3 Running shoes for men. The breathable upper Knit-Mesh offers maximum ventilation. EVA midsole and rubber outsole.,4.1,94,2020-04-13 15:06:30,Men's product,footwear,very high popularity
Men's adidas Running Helkin 3 Shoes,CK9695,45.99,22.99,50,Adidas CORE / NEO,Men's adidas Running Helkin 3 Shoes: Style and performance go hand in hand in this adidas Helkin 3 Running shoes for men. The breathable upper Knit-Mesh offers maximum ventilation. EVA midsole and rubber outsole.,2.0,52,2020-04-13 15:06:30,Men's product,footwear,high popularity
Men's adidas Running Erdiga 4.0 Shoes,CK9683,49.99,24.99,50,Adidas CORE / NEO,"Men's adidas Running Erdiga 4.0 Shoes: These Erdiga 4.0 running shoes for men will add a fresh vigour to your workout sessions. Featuring mesh upper and lining, these lace-ups are durable, light in weight and comfortable to wear. Furthermore, the rubber outsole ensures better traction on different surfaces.",4.6,39,2020-04-13 15:06:30,Men's product,footwear,medium popularity
Men's adidas Running Kylen 1.0 shoes,CK9692,49.99,24.99,50,Adidas CORE / NEO,Men's adidas Running Kylen 1.0 shoes: The adidas Kylen 1.0 shoes for men. These lightweight running shoes come in a new upper design which is made low to ground with faster 3-Stripes execution which enhances it's overall appeal along with great fit. The mesh upper ensures breathability while the Lightstrike EVA midsole with full Rubber outsole provides durability.,3.8,21,2020-04-13 15:06:30,Men's product,footwear,low popularity
Men's adidas Running Galaxy 4 Shoes,EE7919,59.99,29.99,50,Adidas CORE / NEO,"Men's adidas Running Galaxy 4 Shoes: Stride with confidence for miles. These running shoes deliver heel-to-toe support with a midfoot panel, toe cap and heel piece. They feature lightweight cushioning that makes every step feel plush. The cosy knit upper rides on an outsole built to hold up to heavy usage.",4.3,87,2020-04-13 15:06:30,Men's product,footwear,very high popularity
Men's adidas Running Flank Shoes,CL7517,52.99,26.49,50,Adidas CORE / NEO,"Men's adidas Running Flank Shoes: These men's running shoes keep you comfortable so you stay focused on your running goals. They feature a textile-mesh upper, Cloudfoam midsole and Rubber outsole provides durability.",2.7,42,2020-04-13 15:06:30,Men's product,footwear,medium popularity
