Product Name,Sale Price,Listing Price,Currency,Color,Description,Country,Rating,Reviews,Gender,Product Type,Popularity
Racer TR21 Shoes,53.0,75.0,USD,White,"Racer TR21 Shoes: These adidas shoes bring the athletic style of running footwear to your everyday look. Move confidently through your day in a comfortably snug fit and a lightweight midsole that provides all-day cushioning underfoot.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",USA,4.8,78,Women's product,footwear,medium popularity
EQ21 Run Shoes,64.0,80.0,USD,Grey,"EQ21 Run Shoes: When running is your sport, there's nothing you love more than that daily run. Log miles in ultimate comfort when you lace up in these adidas shoes. A breathable upper keeps feet feeling cool and fresh on warm days. Lightweight cushioning makes each step more enjoyable. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",USA,4.6,146,Men's product,footwear,high popularity
Racer TR21 Shoes,68.0,75.0,USD,Black,"Racer TR21 Shoes: Stay comfortable and light on your feet through every step of your day in these shoes. Running-inspired cushioning is lightweight underfoot. The 3-Stripes design brings classic adidas style to any look. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",USA,4.6,377,Men's product,footwear,very high popularity
Delpala x FMF Shoes,52.0,65.0,USD,White,"Delpala x FMF Shoes: Witness the rebirth of adidas vulcanized shoes. Democratic to the core, your style spans the ocean to connect the attitude of Mexico's team to a laid-back California vibe. Pops of color? Yes. Metallic gold accents? Of course. Super fresh look? Totally.",USA,4.8,59,Other,footwear,medium popularity
ZX 1K Boost Shoes,70.0,100.0,USD,Blue,"ZX 1K Boost Shoes: In a constantly evolving world, keeping up is just part of the routine. Stay on top of it in these airy knit mesh adidas shoes. The ZX series has merged technology with culture since the '80s. Today a combination of Boost and EVA cushioning keeps you comfortable as you charge through the day.",USA,3.9,515,Other,footwear,very high popularity
ZX 1K Boost Shoes,56.0,80.0,USD,White,"ZX 1K Boost Shoes: Worthy of the ZX name, these juniors' adidas shoes put innovation on display. Inspired by cutting-edge ZX styles from the archive, this pair shows off a soft mesh upper mixed with synthetic suede. For a hit of modern tech, Boost and EVA combine to create a cushioned midsole that's ready to take on the future, one comfy step at a time.",USA,4.6,37,Other,footwear,low popularity
Puremotion Shoes,56.0,70.0,USD,White,Puremotion Shoes: Be ready for days when the action keeps coming. Head out the door in these running-inspired shoes that combine simple elegance with lasting comfort. The plush midsole cushions each stride to keep you feeling energized until long after sundown.,USA,4.5,808,Women's product,footwear,very high popularity
ZX 2K Boost 2.0 Shoes,105.0,150.0,USD,White,ZX 2K Boost 2.0 Shoes: ZXience expands the ZX universe with a glow. Step into the ZX 2K BOOST 2.0 to experience the cushioned comfort of the wrapped Boost midsole. Embrace the glow of the upper's bold luminous design. Eyes may widen. Embrace all sensations.,USA,4.7,58,Women's product,footwear,medium popularity
ZX 2K Boost 2.0 Shoes,105.0,150.0,USD,Purple,ZX 2K Boost 2.0 Shoes: ZXience expands the ZX universe with a glow. Step into the ZX 2K BOOST 2.0 to experience the cushioned comfort of the wrapped Boost midsole. Embrace the glow of the upper's bold luminous design. Eyes may widen. Embrace all sensations.,USA,4.7,58,Women's product,footwear,medium popularity
ZX 1K Boost Shoes,70.0,100.0,USD,White,"ZX 1K Boost Shoes: The ZX series entered the scene in the '80s and took hold of running culture with its groundbreaking approach to speed. These adidas ZX 1K Boost Shoes might not be about performance anymore, but that doesn't mean they're slowing down. Forever forward focused, the progressive silhouette doubles up on comfort with a plush Boost and EVA midsole combo. The mesh upper is accented with synthetic overlays.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",USA,4.2,77,Women's product,footwear,medium popularity
